comparison,target_model,reference_model,domain,resolution,variable_group,variable,row_label,level_hpa,lead_hour,lead_label,rmse_improvement_pct
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,temperature,temperature,temperature 500,500,30,30h,22.393
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,temperature,temperature,temperature 500,500,36,36h,21.628
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,temperature,temperature,temperature 500,500,42,42h,13.569
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,temperature,temperature,temperature 500,500,48,48h,23.065
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,temperature,temperature,temperature 850,850,0,0h,-0.0
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,temperature,temperature,temperature 850,850,6,6h,8.93
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,temperature,temperature,temperature 850,850,12,12h,2.06
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,temperature,temperature,temperature 850,850,18,18h,14.964
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,temperature,temperature,temperature 850,850,24,24h,16.614
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,temperature,temperature,temperature 850,850,30,30h,23.663
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,temperature,temperature,temperature 850,850,36,36h,17.777
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,temperature,temperature,temperature 850,850,42,42h,15.393
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,temperature,temperature,temperature 850,850,48,48h,25.75
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,specific_humidity,specific_humidity,specific_humidity 250,250,0,0h,-0.0
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,specific_humidity,specific_humidity,specific_humidity 250,250,6,6h,13.248
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,specific_humidity,specific_humidity,specific_humidity 250,250,12,12h,13.18
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,specific_humidity,specific_humidity,specific_humidity 250,250,18,18h,13.165
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,specific_humidity,specific_humidity,specific_humidity 250,250,24,24h,17.791
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,specific_humidity,specific_humidity,specific_humidity 250,250,30,30h,16.143
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,specific_humidity,specific_humidity,specific_humidity 250,250,36,36h,19.711
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,specific_humidity,specific_humidity,specific_humidity 250,250,42,42h,11.324
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,specific_humidity,specific_humidity,specific_humidity 250,250,48,48h,20.518
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,specific_humidity,specific_humidity,specific_humidity 500,500,0,0h,0.0
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,specific_humidity,specific_humidity,specific_humidity 500,500,6,6h,-2.995
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,specific_humidity,specific_humidity,specific_humidity 500,500,12,12h,4.376
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,specific_humidity,specific_humidity,specific_humidity 500,500,18,18h,3.355
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,specific_humidity,specific_humidity,specific_humidity 500,500,24,24h,10.667
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,specific_humidity,specific_humidity,specific_humidity 500,500,30,30h,1.618
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,specific_humidity,specific_humidity,specific_humidity 500,500,36,36h,12.989
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,specific_humidity,specific_humidity,specific_humidity 500,500,42,42h,8.376
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,specific_humidity,specific_humidity,specific_humidity 500,500,48,48h,14.972
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,specific_humidity,specific_humidity,specific_humidity 850,850,0,0h,-0.0
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,specific_humidity,specific_humidity,specific_humidity 850,850,6,6h,-9.271
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,specific_humidity,specific_humidity,specific_humidity 850,850,12,12h,1.919
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,specific_humidity,specific_humidity,specific_humidity 850,850,18,18h,5.427
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,specific_humidity,specific_humidity,specific_humidity 850,850,24,24h,11.204
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,specific_humidity,specific_humidity,specific_humidity 850,850,30,30h,1.43
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,specific_humidity,specific_humidity,specific_humidity 850,850,36,36h,9.812
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,specific_humidity,specific_humidity,specific_humidity 850,850,42,42h,9.897
